"ID","Area","Feature","User story","Expected behavior based on code","Code evidence","Feature status","Test status","Errors documented","Fix status","Retest status","Notes"
"F056","Commands","Mention autocomplete","As a user I want @mentions to suggest available peers or geohash participants.","ChatScreen updates mention suggestions on input changes and inserts selected suggestions into the TextFieldValue; CommandProcessor shows suggestions after the last @ only when no space follows it, uses mesh peer nicknames in mesh context or geohashPeople display names in location context, excludes self, filters by prefix case-insensitively, and replaces text from the last @ through the end with @nickname plus a trailing space.","CommandProcessor.kt; InputComponents.kt; ChatScreen.kt; ChatViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs fake state test."
"F057","Commands","/w who command","As a user I want /w to list online mesh users or geohash participants based on context.","CommandProcessor.handleWhoCommand builds a mesh online-users list from connected peer nicknames in mesh context, or a geohash participant list from geohashPeople excluding self in location context, then posts a system message with either the context label and names or no one else is around right now.","CommandProcessor.kt; ChatViewModel.kt","Documented","Static code inspection","None found in static inspection; user-facing command strings remain hardcoded and tracked in F089.","Not needed","Not run","Needs fake MeshService/viewmodel test."
"F058","Commands","/clear command","As a user I want /clear to clear the currently visible conversation context.","CommandProcessor.handleClearCommand checks selected private chat first and clears that peer conversation, else clears current channel messages when in a classic channel, else clears main messages and all channel messages through MessageManager.clearMessages.","CommandProcessor.kt; MessageManager.kt; ChatState.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs unit tests."
"F059","Commands","/channels command","As a user I want /channels to list joined channels.","CommandProcessor.handleChannelsCommand reads ChannelManager.getJoinedChannelsList, posts no channels joined when empty, otherwise posts joined channels with the sorted channel list as a system message.","CommandProcessor.kt; ChannelManager.kt; MessageManager.kt","Documented","Static code inspection","None found in static inspection; user-facing command strings remain hardcoded and tracked in F089.","Not needed","Not run","Needs unit test."
"F060","Commands","/m or /msg command","As a user I want /msg to open a private chat and optionally send an immediate message.","CommandProcessor.handleMessageCommand resolves nickname to peer ID, starts PrivateChatManager, posts a started-chat system message when no body is supplied, and when content is supplied creates/sends a private message through PrivateChatManager and MessageRouter-backed routing when a ChatViewModel is available.","CommandProcessor.kt; PrivateChatManager.kt; MessageRouter.kt; ChatViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs fake MeshService test."
"F061","Commands","/block command","As a user I want /block with no argument to list blocked users or with a nickname to block that peer.","CommandProcessor strips a leading @ and delegates block-by-nickname; with no argument it posts PrivateChatManager.listBlockedUsers.","CommandProcessor.kt; PrivateChatManager.kt; DataManager.kt","Documented","Static code inspection","None found","Not needed","Not run","Command result text is hardcoded and tracked under F089; needs fake MeshService test."
"F062","Commands","/unblock command","As a user I want /unblock nickname to allow messages from that peer again.","CommandProcessor strips a leading @, delegates unblock-by-nickname, and posts usage when no target is provided.","CommandProcessor.kt; PrivateChatManager.kt; DataManager.kt","Documented","Static code inspection","None found","Not needed","Not run","Command result text is hardcoded and tracked under F089; needs fake MeshService test."
"F063","Commands","/hug and /slap actions","As a user I want playful action commands to send formatted action messages in mesh, channel, private, or geohash context.","CommandProcessor builds a formatted action message, routes it through private/geohash/channel/public send paths, and ChatUserSheet triggers /slap and /hug actions.","CommandProcessor.kt; ChatUserSheet.kt","Documented","Static code inspection","None found","Not needed","Not run","Needs context matrix tests."
"F064","Commands","Unknown command handling","As a user I want typo commands to explain that the command is unknown.","CommandProcessor posts a system message for unknown commands and suggests typing / for available commands.","CommandProcessor.kt","Documented","Static code inspection","None found","Not needed","Not run","Existing tests are ignored; should re-enable with fake MeshService."
"F065","Location channels","Location channel sheet permissions","As a user I want location channel UI to explain permission state and offer settings if permission is denied.","LocationChannelsSheet now distinguishes app toggle, Android system location, and runtime permission: system-off shows a location-settings prompt; effective-enabled shows denied/settings or granted permission text.","LocationChannelsSheet.kt; LocationChannelManager.kt; strings.xml","Fixed pending verification","Static code inspection; Gradle execution blocked","System location off with app toggle on previously hid the real blocker and reused the enable button state.","Prompt added; app/system location states separated in UI","Static retest passed; Gradle wrapper download denied by sandbox","Needs permission UI test."
"F066","Location channels","Select mesh or geohash channel","As a user I want to switch between Bluetooth mesh and Nostr geohash location channels.","LocationChannelsSheet selects ChannelID.Mesh or ChannelID.Location; LocationChannelManager persists the selection and GeohashViewModel switches subscriptions and current geohash state.","LocationChannelsSheet.kt; GeohashViewModel.kt; LocationChannelManager.kt","Documented","Static code inspection","None found","Not needed","Not run","Needs fake manager test or instrumentation."
"F067","Location channels","Nearby channel list and participant counts","As a user I want nearby channels grouped by precision with names, coverage, and people counts.","LocationChannelsSheet lists available channels excluding building level, shows coverage/name, highlights channels with participants, and uses ? people for high-precision zero counts; Nostr presence/chat events update reactive counts.","LocationChannelsSheet.kt; GeohashViewModel.kt; GeohashMessageHandler.kt; GeohashRepository.kt","Documented","Static code inspection","None found","Not needed","Not run","Needs participant count unit tests."
"F068","Location channels","Geohash bookmarks","As a user I want to bookmark and revisit geohashes.","LocationChannelsSheet and ChatHeader toggle bookmarks; GeohashBookmarksStore normalizes, de-duplicates, persists bookmarks, and resolves friendly names.","LocationChannelsSheet.kt; ChatHeader.kt; GeohashBookmarksStore.kt","Documented","Static code inspection","None found","Not needed","Not run","Needs persistence test."
"F069","Location channels","Custom geohash teleport and map picker","As a user I want to type or select a custom geohash from a map and teleport to it.","LocationChannelsSheet filters custom input to valid geohash base32, accepts up to 12 chars, opens GeohashPickerActivity, and marks manual custom selections teleported before selecting the channel.","LocationChannelsSheet.kt; GeohashPickerActivity.kt; geohash_picker.html","Documented","Static code inspection","None found","Not needed","Not run","Needs activity result test."
"F070","Location channels","Location services enable/disable toggle","As a user I want to disable or enable location channels from the location sheet.","LocationChannelsSheet button now reflects the app-level location preference while nearby lists/live refresh remain gated by effective app-and-system state; LocationChannelManager persists the app toggle and clears location channels when disabled.","LocationChannelsSheet.kt; LocationChannelManager.kt; DataManager.kt; strings.xml","Fixed pending verification","Static code inspection; Gradle execution blocked","Button previously used effective location state, so app location could not be turned off from the sheet when Android system location was off.","Toggle changed to use appLocationEnabled; system-off prompt added","Static retest passed; Gradle wrapper download denied by sandbox","Needs state persistence test."
"F071","Geohash chat","Send geohash message","As a user I want messages in location channels to go through Nostr relays with my geohash identity.","ChatViewModel routes normal and command-generated public sends to GeohashViewModel when selected channel is Location; GeohashViewModel adds local geo timeline echo, derives geohash identity, creates kind 20000 event with nickname/teleport tags, and sends to nearest geohash relays.","ChatViewModel.kt; GeohashViewModel.kt; NostrProtocol.kt; NostrRelayManager.kt","Documented","Static code inspection","None found","Not needed","Not run","Requires network or mocked relay tests."
"F072","Geohash chat","Receive geohash messages and participants","As a user I want geohash messages and participant list to update from Nostr events.","GeohashViewModel subscribes to geohash events and geohash gift wraps; GeohashMessageHandler validates kind/geohash/PoW, drops blocked users, updates participants/nicknames/teleport state, ignores own events, and adds remote chat messages.","GeohashViewModel.kt; GeohashMessageHandler.kt; GeohashRepository.kt; NostrDirectMessageHandler.kt","Documented","Static code inspection","None found","Not needed","Not run","Needs Nostr event unit tests."
"F073","Geohash chat","Global presence heartbeat","As a user I want participant counts to reflect nearby online users while preserving privacy.","GeohashViewModel observes available channels, broadcasts kind 20001 presence only to precision <=5 geohashes, uses randomized loop/per-broadcast delays, and restarts when the channel set changes.","GeohashViewModel.kt; NostrProtocol.kt","Documented","Static code inspection","None found","Not needed","Not run","Needs timing/privacy tests with coroutine test scheduler."
"F074","Geohash chat","Geohash people list and DMs","As a user I want to see people in a geohash and start a DM from their pubkey or nickname.","GeohashPeopleList sorts current user first and latest activity after, shows unread/teleport states, and starts a geohash DM for other people; GeohashViewModel maps nostr_ conversation keys to pubkeys/source geohash and opens the private chat.","GeohashPeopleList.kt; GeohashViewModel.kt; NostrDirectMessageHandler.kt","Fixed pending verification","Static code inspection; Gradle execution blocked","A stale TODO claimed the geohash DM tap path needed re-enabling even though the code already invoked startGeohashDM.","Removed misleading TODO comment; behavior remains enabled","Static retest passed; Gradle wrapper download denied by sandbox","Needs UI test for tapping a geohash person."
"F075","Geohash chat","Block geohash user","As a user I want to block an abusive geohash user by nickname.","ChatViewModel delegates to GeohashViewModel.blockUserInGeohash, which resolves nickname to pubkey, persists the blocked pubkey, refreshes people/counts, drops future blocked events, and posts success/not-found system messages.","ChatViewModel.kt; GeohashViewModel.kt; GeohashRepository.kt; GeohashMessageHandler.kt; DataManager.kt","Documented","Static code inspection","None found","Not needed","Not run","Needs repository fake test."
"F076","Location notes","View and create location notes","As a user I want building-level location notes to load, show relay/no-relay/error states, and let me add a note.","LocationNotesSheetPresenter selects building geohash or shows acquiring/error sheet; LocationNotesSheet loads notes, shows no-relay/loading/empty/error states, and sends trimmed note content with nickname; presenter state text now uses string resources.","LocationNotesSheetPresenter.kt; LocationNotesSheet.kt; LocationNotesManager.kt; strings.xml","Fixed pending verification","Static search; Gradle execution blocked","Presenter hardcoded acquiring/error/enable-location strings were moved to string resources.","Fixed","Blocked: Gradle wrapper download denied by sandbox","Needs runtime/UI verification once tests/build can execute."
"F077","Nostr relay","Geohash relay directory refresh","As a user I want the app to find nearby relays from a bundled list and refresh from the network when possible.","BitchatApplication initializes RelayDirectory; RelayDirectory loads downloaded CSV when valid or bundled nostr_relays.csv otherwise, refreshes stale data in the background, normalizes bare relay hostnames to wss://, and returns nearest URLs by geohash center.","BitchatApplication.kt; RelayDirectory.kt; assets/nostr_relays.csv; NostrRelayManager.kt","Documented","Static code inspection","None found","Not needed","Not run","Network is restricted here; unit tests can cover CSV parse/nearest lookup."
"F078","Mesh transport","BLE discovery and mesh service","As a user I want the app to discover peers, advertise, connect, and relay packets over BLE.","BluetoothMeshService coordinates peer, fragment, security, store/forward, message, connection, and packet processors; start/stop honors BLE debug toggle, registers/unregisters bridge transport, starts/stops shared gossip, advertises/scans through GATT managers, and sends leave on stop.","BluetoothMeshService.kt; BluetoothConnectionManager.kt; BluetoothGattClientManager.kt; BluetoothGattServerManager.kt; PeerManager.kt; PowerManager.kt; TransportBridgeService.kt","Documented","Static code inspection","None found","Not needed","Not run","Hardware-dependent; needs device/instrumented verification."
"F079","Mesh transport","Wi-Fi Aware transport controls","As a user/developer I want Wi-Fi Aware mesh transport to be available when supported and controllable in debug settings.","BitchatApplication initializes WifiAwareController from persisted debug preference; controller exposes support/available/running/debug flows and gates startup on support, availability, location, and NEARBY_WIFI_DEVICES; DebugSettingsSheet exposes enable, verbose, start/stop, announce, discovered, and connected states.","wifi-aware/*.kt; DebugSettingsSheet.kt; BitchatApplication.kt; UnifiedMeshService.kt","Documented","Static code inspection","None found","Not needed","Not run","Requires supported Android hardware."
"F080","Mesh transport","Unified mesh service","As a user I want enabled transports to share the same UI and routing behavior.","UnifiedMeshService starts BLE and Wi-Fi Aware when enabled, refreshes delegates, merges peer lists from AppStateStore/BLE/Wi-Fi, routes public/channel sends by enabled BLE state, and routes private/file/verify traffic to the ready connected transport with fallbacks.","UnifiedMeshService.kt; MeshService.kt; MainActivity.kt; WifiAwareController.kt","Documented","Static code inspection","None found","Not needed","Not run","Needs fake transport test."
"F081","Mesh protocol","Fragmentation and reassembly","As a user sending large messages or files I want transfers fragmented and reassembled without duplicates.","FragmentManager and FragmentingPacketSender split oversized packets, track fragments, and support cancellation/progress.","FragmentManager.kt; FragmentingPacketSender.kt; MeshPacketUtils.kt","Documented","Existing unit tests present","None yet","Not started","Not run","Run existing tests before claiming pass."
"F082","Mesh protocol","Source routing and mesh graph","As a user I want the mesh to route unicast messages efficiently across known paths.","Source routing docs and MeshGraphService/RoutePlanner implement graph updates and route planning for packet routing.","docs/SOURCE_ROUTING.md; MeshGraphService.kt; RoutePlanner.kt; PacketRelayManager.kt","Documented","Existing unit tests present","None yet","Not started","Not run","Run MeshGraphServiceTest."
"F083","Mesh protocol","Store and forward","As an offline recipient I want messages delivered when I reconnect if store-and-forward is implemented.","StoreForwardManager contains in-memory cache/send helpers, but cacheMessage has no callers and BLE/Wi-Fi private-send paths initiate a handshake without queueing when no Noise session exists; README no longer advertises offline store-and-forward delivery.","StoreForwardManager.kt; BluetoothMeshService.kt; MeshCore.kt; README.md","Not implemented; no longer advertised","Static code inspection","README advertised store-and-forward, but no active send path queues offline messages.","UX false advertising fixed; feature implementation deferred","Blocked: Gradle wrapper download denied by sandbox","Implementing true offline queueing requires protocol/send-path design beyond this UX cleanup."
"F084","Mesh protocol","Announcement gossip/sync","As a user I want devices to exchange identity and seen-packet information to reduce duplicate traffic.","Sync docs, GossipSyncManager, GCSFilter, and announcement gossip docs describe and implement packet synchronization.","docs/sync.md; docs/ANNOUNCEMENT_GOSSIP.md; GossipSyncManager.kt; GCSFilter.kt","Documented","Existing unit tests present","None yet","Not started","Not run","Run GCSFilterTest and related tests."
"F085","Security","Private message encryption","As a user I want private messages protected end-to-end with Noise sessions.","Noise session manager/services and MessageRouter/BluetoothMeshService use established sessions for private content and handshakes.","NoiseSessionManager.kt; NoiseEncryptionService.kt; BluetoothMeshService.kt; MessageRouter.kt","Documented","Existing unit tests present","None yet","Not started","Not run","Run SecurityManagerTest and EncryptionServiceTest."
"F086","Security","Peer identity and fingerprints","As a user I want stable peer identity fingerprints and verified status surfaced across UI.","PeerManager tracks nicknames, fingerprints, Noise public keys, verification flags, RSSI/direct status; ChatViewModel caches fingerprint mappings.","PeerManager.kt; PeerFingerprintManager.kt; ChatViewModel.kt; SecureIdentityStateManager.kt","Documented","Existing unit tests present","None yet","Not started","Not run","Run PeerManagerTest."
"F087","Files and storage","Media cleanup on panic","As a user I want panic wipe to delete outgoing and incoming media files.","ChatViewModel.panicClearAllData calls FileUtils.clearAllMedia; FileUtils recursively deletes files/incoming, files/outgoing, images/incoming, images/outgoing, voicenotes, explicit cache media directories, and then cacheDir as a catch-all.","ChatViewModel.kt; FileUtils.kt","Documented","Static code inspection","None found","Not needed","Not run","Need temp-directory unit test."
"F088","Accessibility","Content descriptions for key controls","As an accessibility user I want icon buttons to expose meaningful content descriptions.","Strings include content descriptions for peer counts, Tor, geohash, media, verification, file/media controls, route indicators, favorite controls, and voice playback.","strings.xml; ChatHeader.kt; InputComponents.kt; MeshPeerListSheet.kt; GeohashPeopleList.kt; media/*.kt; VerificationSheet.kt","Partial","Code inspection; static search","Several hardcoded content descriptions were replaced with string resources; app-wide semantics coverage is still not fully audited.","Improved; pending full audit","Not run","Needs Compose semantics audit."
"F089","Localization","String resource coverage","As a non-English user I want user-facing text translated or at least in string resources.","Many strings are localized; LocationNotesSheetPresenter state text, onboarding permission descriptions/errors, selected accessibility labels, selected AboutSheet setting/status labels, and VerificationSheet tab/error labels now use default string resources, but some UI/debug/notification text and TODO translation placeholders remain.","strings.xml; values-*/strings.xml; PermissionManager.kt; OnboardingCoordinator.kt; MainActivity.kt; LocationNotesSheetPresenter.kt; AboutSheet.kt; VerificationSheet.kt; DebugSettingsSheet.kt; NotificationManager.kt","Partial","Code inspection; static search","Location notes presenter, onboarding permission/error strings, selected accessibility labels, selected AboutSheet labels/status strings, and VerificationSheet tab/error labels were moved to resources. Additional hardcoded/debug/notification strings and TODO translations remain.","Improved; pending broader UX fix","Not run","Logistical/UX issue category."
"F090","Build/test","Automated unit test suite","As a maintainer I want unit tests to cover protocol, managers, commands, and user-story behavior.","Gradle test task exists with unit and Robolectric tests; CommandProcessorTest ignored tests were re-enabled with a fake MeshService; autocomplete, channel password, persisted commitment, encrypted channel payload, and BitchatMessage envelope tests were added.","app/src/test/**/*; build.gradle.kts","Partial","Blocked: Gradle wrapper download denied by sandbox","Gradle wrapper attempted to download Gradle 8.13 and failed with network permission denied.","Tests added; execution blocked by missing local Gradle distribution","Blocked","Run .\\gradlew.bat testDebugUnitTest --tests ""com.bitchat.android.ui.CommandProcessorTest"" and .\\gradlew.bat testDebugUnitTest --tests ""com.bitchat.android.model.BitchatMessageTest"" once Gradle is cached."
